label,prob_benign_mean,prob_benign_std,prob_no_tumor_mean
1,0.054979403,0.011193674,0.9450206
1,0.05114642,0.011713965,0.94885355
1,0.0533612,0.00988728,0.9466388
1,0.053302396,0.014595459,0.9466976
1,0.057909966,0.013530452,0.94209003
1,0.06612503,0.015420509,0.93387496
1,0.054310404,0.013192939,0.9456896
1,0.048918474,0.01015517,0.9510815
1,0.054458175,0.012772361,0.9455418
1,0.058845505,0.016186792,0.9411545
1,0.060154032,0.015264029,0.939846
1,0.053281747,0.013005092,0.9467183
1,0.053645972,0.0130389435,0.94635403
1,0.053603962,0.012380812,0.94639605
1,0.072757445,0.02880195,0.9272426
1,0.055661563,0.015755543,0.94433844
1,0.04973932,0.011937395,0.9502607
1,0.41526017,0.19121157,0.5847398
1,0.054748945,0.012962619,0.94525105
1,0.065995835,0.02993046,0.9340042
1,0.067161165,0.025237342,0.93283886
1,0.057167113,0.015987668,0.9428329
1,0.052671347,0.01696606,0.9473286
1,0.060982157,0.014656915,0.93901783
1,0.05441869,0.013974475,0.9455813
1,0.22190239,0.17997718,0.7780976
1,0.05147382,0.015940527,0.9485262
1,0.05030556,0.013900421,0.94969445
1,0.066601045,0.020983834,0.93339896
1,0.06305376,0.021004831,0.9369463
1,0.06093876,0.011525797,0.9390612
1,0.05014881,0.01105365,0.9498512
1,0.05748564,0.01511925,0.94251436
1,0.07841509,0.056429986,0.9215849
1,0.065356255,0.01601214,0.93464375
1,0.084906064,0.018155856,0.91509396
1,0.05304436,0.010694837,0.9469556
1,0.7834547,0.15987058,0.21654528
1,0.06798222,0.013950788,0.9320178
1,0.09157462,0.052102327,0.9084254
1,0.053564683,0.0113008935,0.94643533
1,0.05088797,0.009692273,0.94911206
1,0.0564239,0.021899242,0.9435761
1,0.7635937,0.13289659,0.23640633
1,0.22549905,0.07970054,0.77450097
1,0.0501233,0.010556679,0.9498767
1,0.05135698,0.015157095,0.948643
1,0.61877996,0.24839441,0.38122004
1,0.8341699,0.116135344,0.16583008
1,0.8344828,0.13543385,0.16551721
1,0.054395113,0.011749893,0.94560486
1,0.07400946,0.03668524,0.9259905
1,0.052046966,0.011720733,0.94795305
1,0.05047932,0.011372871,0.9495207
1,0.05674369,0.01218956,0.9432563
1,0.17037706,0.19788687,0.8296229
1,0.21127449,0.13469948,0.7887255
1,0.062181223,0.010096525,0.93781877
1,0.04859818,0.011540705,0.9514018
1,0.6633337,0.22659576,0.3366663
1,0.09050229,0.042698458,0.90949774
1,0.05795188,0.01654949,0.94204813
1,0.34809384,0.20902602,0.65190613
1,0.053861912,0.011310686,0.9461381
1,0.055915594,0.012251686,0.9440844
1,0.042583622,0.018770926,0.95741636
1,0.1634893,0.1130117,0.8365107
1,0.051045317,0.016804308,0.9489547
1,0.053038515,0.013143491,0.94696146
1,0.16286018,0.07529017,0.83713984
1,0.056248266,0.015952867,0.94375175
1,0.31620798,0.13589373,0.683792
1,0.05152605,0.012919288,0.94847393
1,0.04174558,0.016181273,0.9582544
1,0.051869214,0.011763738,0.9481308
1,0.05105855,0.010717638,0.94894147
1,0.06715076,0.020693501,0.9328492
1,0.059449017,0.01584139,0.940551
1,0.42964873,0.24249744,0.57035124
1,0.070095174,0.02951919,0.9299048
1,0.057936016,0.012837063,0.942064
1,0.4182563,0.22062498,0.5817437
1,0.11475322,0.06513204,0.88524675
1,0.04812901,0.0073113358,0.951871
1,0.35219857,0.18392418,0.6478014
1,0.05822997,0.014051308,0.94177
1,0.051312618,0.011389977,0.9486874
1,0.079867095,0.023673333,0.9201329
1,0.061577495,0.012063447,0.9384225
1,0.054539584,0.025520094,0.94546044
1,0.9513041,0.01403967,0.048695922
1,0.050398048,0.015511781,0.94960195
1,0.04861826,0.011757195,0.95138174
1,0.051665034,0.012330925,0.948335
1,0.0982243,0.040055808,0.9017757
1,0.042084396,0.024424251,0.9579156
1,0.11163703,0.054655615,0.88836294
1,0.061657473,0.025992805,0.9383425
1,0.050432708,0.010889476,0.9495673
1,0.05264728,0.012256069,0.9473527
1,0.057142843,0.022992501,0.94285715
1,0.063311644,0.011450334,0.93668836
1,0.050858755,0.008917117,0.94914126
1,0.05199528,0.012820915,0.9480047
1,0.8951638,0.03618672,0.104836226
1,0.07028229,0.038611956,0.9297177
1,0.044289198,0.010906819,0.9557108
1,0.9450246,0.016127383,0.05497539
1,0.045729306,0.018876033,0.9542707
1,0.08254241,0.021395458,0.9174576
1,0.13790199,0.053546295,0.862098
1,0.3414353,0.2121351,0.6585647
1,0.051547993,0.01140415,0.948452
1,0.87176937,0.10017126,0.12823063
1,0.05326157,0.008810789,0.9467384
1,0.059609987,0.023407457,0.94039
1,0.043324523,0.025003927,0.95667547
1,0.27510178,0.17188746,0.7248982
1,0.8197538,0.068752974,0.18024617
1,0.050937653,0.01110743,0.94906235
1,0.059100933,0.020195192,0.9408991
1,0.43722266,0.2966032,0.56277734
1,0.060002275,0.017406533,0.93999773
1,0.054819964,0.01441611,0.94518006
1,0.25636238,0.2004034,0.7436376
1,0.0523606,0.015019764,0.9476394
1,0.054727353,0.01358393,0.9452726
1,0.07011005,0.017133031,0.9298899
1,0.05658151,0.012544934,0.9434185
1,0.05530902,0.025552517,0.944691
1,0.06264366,0.014930636,0.93735635
1,0.047729485,0.011060142,0.9522705
1,0.048347063,0.010039971,0.95165294
1,0.053018667,0.01791914,0.9469813
