label,prob_benign,prob_no_tumor
0,0.050948314,0.9490517
0,0.056839716,0.9431603
0,0.045299966,0.95470005
0,0.045295756,0.9547042
0,0.04935458,0.95064545
0,0.0511323,0.9488677
0,0.050446212,0.9495538
0,0.051279,0.948721
0,0.048360072,0.95163995
0,0.06307284,0.93692714
0,0.13883615,0.86116385
0,0.041170813,0.95882916
0,0.80762607,0.19237393
0,0.40606052,0.5939395
0,0.6536676,0.34633237
0,0.054000653,0.9459993
0,0.051955186,0.94804484
0,0.061356105,0.9386439
0,0.20552394,0.79447603
0,0.053631973,0.94636804
0,0.954706,0.045293987
0,0.051999528,0.9480005
0,0.9586757,0.041324317
0,0.93007594,0.06992406
0,0.95343006,0.046569943
0,0.057623386,0.9423766
0,0.8880251,0.111974895
0,0.18274283,0.81725717
0,0.089528285,0.91047174
1,0.4985818,0.50141823
1,0.05383745,0.9461626
1,0.062101256,0.93789876
1,0.051142424,0.94885755
1,0.1767309,0.8232691
1,0.04780355,0.9521965
1,0.052583057,0.94741696
1,0.05612595,0.94387406
1,0.24431844,0.7556816
1,0.047712814,0.9522872
1,0.028864875,0.97113514
1,0.04982596,0.95017403
1,0.051748373,0.9482516
1,0.051191222,0.9488088
1,0.07446958,0.92553043
1,0.048412852,0.95158714
1,0.610786,0.38921398
1,0.05492419,0.9450758
1,0.0512412,0.9487588
1,0.05162992,0.9483701
1,0.1465035,0.8534965
1,0.051571243,0.94842875
1,0.16728446,0.8327155
1,0.053878557,0.94612145
1,0.052175008,0.947825
1,0.05191663,0.9480834
1,0.052456368,0.9475436
1,0.055637598,0.9443624
1,0.051366765,0.94863325
1,0.050900154,0.94909984
1,0.07015784,0.9298422
1,0.0547612,0.9452388
1,0.05180381,0.9481962
1,0.042778574,0.95722145
1,0.056393158,0.94360685
1,0.05326714,0.9467329
1,0.05674278,0.9432572
1,0.029445123,0.9705549
1,0.055808038,0.94419193
1,0.049467027,0.950533
1,0.056910478,0.94308954
1,0.5115265,0.48847347
1,0.050498396,0.94950163
1,0.046663508,0.9533365
1,0.056737162,0.9432628
1,0.05099997,0.949
1,0.06512131,0.9348787
1,0.05685232,0.94314766
1,0.052740682,0.9472593
1,0.6862443,0.3137557
1,0.07705447,0.9229455
1,0.057028435,0.9429716
1,0.050759714,0.94924027
1,0.075537406,0.9244626
1,0.05197538,0.94802463
1,0.07114052,0.9288595
1,0.052582216,0.9474178
1,0.04675072,0.9532493
1,0.055811137,0.94418883
1,0.047290694,0.9527093
1,0.0524665,0.9475335
1,0.05503323,0.9449668
1,0.05005468,0.94994533
1,0.053997926,0.94600207
1,0.6485601,0.3514399
1,0.051274903,0.9487251
1,0.052580297,0.9474197
1,0.05800453,0.9419955
1,0.069300115,0.9306999
1,0.05202498,0.94797504
1,0.056843597,0.9431564
1,0.928542,0.07145798
1,0.04876054,0.95123947
1,0.027778676,0.9722213
1,0.056019954,0.94398004
1,0.06115196,0.938848
1,0.95569324,0.044306755
1,0.052769016,0.947231
1,0.060796518,0.9392035
1,0.053285252,0.94671476
1,0.053574078,0.9464259
1,0.051493477,0.94850653
1,0.06565415,0.93434584
1,0.045734163,0.95426583
1,0.8909211,0.109078884
1,0.83711493,0.16288507
1,0.05102269,0.9489773
1,0.039033893,0.9609661
1,0.06576474,0.9342353
1,0.06536162,0.9346384
1,0.051707942,0.9482921
1,0.04928896,0.950711
1,0.8077248,0.19227523
1,0.37262607,0.62737393
1,0.050652515,0.9493475
1,0.051048376,0.9489516
1,0.051308,0.948692
1,0.9350581,0.06494188
1,0.05377642,0.94622356
1,0.054112136,0.94588786
1,0.047368232,0.9526318
1,0.04856621,0.9514338
1,0.0534214,0.9465786
1,0.057988018,0.94201195
1,0.27640802,0.723592
1,0.05721634,0.94278365
1,0.099282004,0.900718
1,0.054800004,0.94519997
1,0.052413486,0.94758654
1,0.05627658,0.94372344
1,0.05149605,0.948504
1,0.05021867,0.9497813
1,0.04942412,0.9505759
1,0.05120046,0.94879955
1,0.953298,0.046702027
1,0.062723614,0.93727636
1,0.89871806,0.10128194
1,0.056335837,0.9436642
1,0.056664467,0.94333553
1,0.053506307,0.9464937
1,0.051769353,0.9482306
1,0.06041668,0.9395833
1,0.059531443,0.94046855
1,0.05150972,0.94849026
1,0.050969653,0.94903034
1,0.054304637,0.94569534
1,0.15360072,0.8463993
1,0.8485235,0.1514765
1,0.866372,0.13362801
1,0.9538053,0.046194673
1,0.052319,0.947681
1,0.05125857,0.94874144
1,0.050569016,0.949431
1,0.053478308,0.9465217
1,0.05281394,0.94718605
1,0.049174376,0.95082563
1,0.05188387,0.9481161
1,0.05382391,0.9461761
1,0.17138544,0.8286146
1,0.090398446,0.90960157
1,0.05111327,0.94888675
1,0.03812879,0.9618712
1,0.05220718,0.9477928
1,0.054748762,0.9452512
1,0.052936137,0.94706386
1,0.07708533,0.9229147
1,0.3446488,0.65535116
1,0.880991,0.11900902
1,0.039874543,0.96012545
1,0.051842857,0.94815713
1,0.54344976,0.45655024
1,0.04044584,0.95955414
1,0.050111543,0.94988847
1,0.05437715,0.94562286
1,0.13197987,0.8680201
1,0.04482741,0.9551726
1,0.052698456,0.94730157
1,0.086267695,0.9137323
1,0.06144134,0.93855864
1,0.05781135,0.9421886
1,0.042064518,0.95793545
1,0.052667744,0.94733226
1,0.31483173,0.68516827
1,0.050724417,0.9492756
1,0.051743977,0.948256
1,0.051000655,0.94899935
1,0.050224494,0.9497755
1,0.046406783,0.9535932
1,0.050200313,0.94979966
1,0.052591573,0.94740844
1,0.052582055,0.947418
1,0.72691643,0.27308357
1,0.06866586,0.93133414
1,0.053356618,0.94664335
1,0.049671285,0.9503287
1,0.08880571,0.91119426
1,0.55400974,0.44599026
1,0.049679346,0.95032066
1,0.06185603,0.93814397
1,0.050726943,0.94927305
1,0.9020858,0.09791422
1,0.05411737,0.9458826
1,0.057151545,0.94284844
1,0.06954078,0.9304592
1,0.050221987,0.949778
1,0.051760145,0.94823986
1,0.05225311,0.9477469
1,0.052092023,0.947908
1,0.09872667,0.9012733
1,0.04852998,0.95147
1,0.040049277,0.95995075
1,0.19455649,0.8054435
1,0.44328028,0.5567197
1,0.056476332,0.94352365
1,0.053363383,0.9466366
1,0.048716627,0.9512834
1,0.054850347,0.94514966
1,0.1674276,0.8325724
1,0.05263889,0.9473611
1,0.055652916,0.9443471
1,0.3997268,0.6002732
1,0.05418666,0.94581336
1,0.043331094,0.9566689
1,0.056354422,0.9436456
1,0.054965205,0.9450348
1,0.040831883,0.95916814
1,0.931492,0.06850803
1,0.07321623,0.9267838
1,0.052403964,0.947596
1,0.329382,0.670618
1,0.056763105,0.9432369
1,0.04911449,0.95088553
1,0.05955574,0.94044423
1,0.90967065,0.09032935
1,0.05967179,0.94032824
1,0.05421827,0.9457817
1,0.05048752,0.9495125
1,0.04884601,0.951154
1,0.049695622,0.9503044
1,0.05191655,0.94808346
1,0.048392564,0.95160747
1,0.052785557,0.9472144
1,0.05093185,0.9490681
1,0.055676866,0.9443231
1,0.05444746,0.9455525
1,0.05279421,0.9472058
1,0.9466891,0.05331087
1,0.07679597,0.923204
1,0.034451418,0.9655486
