x,y,label,pred,correct
-24.772251,10.973189,2,2,1
-14.692106,-3.475114,2,2,1
-24.969149,-1.663716,2,2,1
-7.823729,12.599641,2,2,1
-16.847021,7.458068,2,2,1
-8.004058,11.813729,2,2,1
-0.524750,-10.175545,2,2,1
-17.819277,-4.102444,2,2,1
-22.165257,13.935093,2,2,1
-25.966391,-2.022243,2,2,1
-4.702124,-6.652220,2,1,0
-7.033271,17.731167,2,2,1
-3.663762,0.724924,2,1,0
-22.898924,-2.998121,2,2,1
-11.997659,13.686779,2,2,1
-19.159964,-7.147422,2,2,1
3.319407,1.286981,2,2,1
-6.025748,-6.049996,2,2,1
0.677400,-9.196488,2,0,0
-2.538584,-5.859040,2,1,0
5.979285,14.315323,2,1,0
3.960638,5.613985,2,2,1
-2.297306,8.748773,2,1,0
-8.998878,16.402449,2,2,1
-6.436880,14.344927,2,2,1
-31.121927,0.589127,2,2,1
-4.003023,5.516936,2,2,1
21.178555,-6.951361,2,0,0
-25.915154,5.129280,2,2,1
-0.028233,-11.897809,2,2,1
-16.558500,1.959343,2,2,1
2.003969,-10.667375,2,2,1
-5.406575,9.279933,2,2,1
-27.169737,7.263592,2,2,1
-1.380825,9.546296,2,2,1
-1.770325,13.276857,2,2,1
-2.783388,11.157305,2,2,1
-19.991966,9.703141,2,2,1
-7.156782,-8.617862,2,2,1
-19.112089,2.370628,2,2,1
-17.187222,6.724810,2,2,1
9.771458,12.296185,2,1,0
4.695029,-8.622695,2,0,0
-9.685512,3.517061,2,2,1
-23.495443,9.471465,2,2,1
6.172019,-4.372280,2,0,0
-12.110124,9.831994,2,2,1
-10.628899,-2.891748,2,2,1
2.796901,19.692957,2,1,0
-11.153659,16.075100,2,2,1
-13.568568,-2.041530,2,2,1
-13.932221,-5.864020,2,2,1
5.394776,3.648309,2,2,1
-5.897368,12.351585,2,2,1
-5.879348,-11.203891,2,2,1
-30.196150,-0.849782,2,2,1
9.443645,9.134960,2,1,0
8.588094,1.738797,2,2,1
-18.265215,5.532620,2,2,1
-19.984615,-4.500704,2,2,1
-13.564431,4.395289,2,2,1
1.339076,-5.099024,2,1,0
3.893211,19.140072,2,1,0
-25.432861,4.507639,2,2,1
-5.809430,15.788490,2,2,1
-21.118979,3.088845,2,2,1
7.547758,15.014424,2,1,0
0.872719,10.546026,2,1,0
-0.532338,8.848249,2,1,0
4.982077,13.106359,2,1,0
-6.946976,12.489084,2,2,1
-20.652740,-0.822434,2,2,1
16.889277,-1.887833,2,0,0
-24.772581,-5.220315,2,2,1
-15.250605,8.218477,2,2,1
11.556209,-3.137037,2,1,0
-15.797350,5.243489,2,2,1
-13.970610,14.462467,2,2,1
-2.352662,-13.793576,2,2,1
-27.255600,4.157971,2,2,1
-14.146388,0.046103,2,2,1
