feature,kruskal_h,p_kruskal,p_malignant_vs_benign,delta_malignant_vs_benign,mean_malignant,mean_benign,p_malignant_vs_no_tumor,delta_malignant_vs_no_tumor,mean_no_tumor,p_benign_vs_no_tumor,delta_benign_vs_no_tumor,q_kruskal,q_malignant_vs_benign,q_malignant_vs_no_tumor,q_benign_vs_no_tumor
img_glcm_correlation,108.22721750844721,3.153249402926887e-24,7.785886226400857e-11,-0.2623441455509026,0.9200971530936474,0.935193108478156,8.175198194687835e-25,-0.3414914877868246,0.9395658552260123,0.0024133284758676814,-0.09592954990215265,5.912342630487914e-24,1.4598536674501607e-10,1.5961967004755016e-24,0.01101624199457781
img_p10,52.76718277032725,3.4813833555654284e-12,0.00035316716829353437,-0.14406037807272815,22.328756476683942,25.750913242009137,1.3647672146087074e-12,-0.2352701702442635,28.787500000000005,0.0022824683438886512,-0.09644324853228962,6.266490040017771e-12,0.0005480180197658291,2.4565809862956737e-12,0.01101624199457781
gb_skew,48.05897488296614,3.6654407285008933e-11,2.3708477074926992e-08,0.22515200984219366,0.8033725459265807,0.6468364653174999,1.578327778206567e-11,0.2237897853441895,0.6353632462944042,0.8862687196839723,0.004523809523809524,6.3440320300977e-11,4.2675258734868586e-08,2.731721154588289e-11,0.8862687196839721
gb_kurtosis,43.34694774672698,3.8666057560597573e-10,3.015115946320162e-08,0.22346038280455202,0.665350456616906,0.19548292309969806,3.12846604118727e-10,0.20890821613619542,0.18412840549506948,0.6552997393434137,-0.01411611219830398,6.444342926766262e-10,5.2184699070925874e-08,5.214110068645449e-10,0.7372122067613404
img_p50,41.28395969544501,1.0846810593073797e-09,0.010050039531847002,-0.10381030118059006,67.02720207253886,70.17351598173516,2.336946302150864e-09,-0.19827165062916358,74.78928571428571,0.00043807740761377855,-0.11115786040443575,1.743237416744003e-09,0.014173970467720723,3.755806557028174e-09,0.003942696668524007
gb_p50,36.23874499604125,1.351625910520025e-08,0.021524084819211756,-0.09270234461873329,66.78497409326425,69.44977168949772,2.8615053641872772e-08,-0.18423575129533679,73.52571428571429,0.0006629437824121408,-0.10763046314416178,2.0973505508069355e-08,0.029351024753470574,4.440266944428534e-08,0.0049720783680910555
img_mean,31.297498974633527,1.598948400766356e-07,0.164123733240353,-0.056119431234769444,73.93190983747571,75.15133724404251,1.5518407395050942e-06,-0.15951147298297558,79.72213503069196,0.00013148051509447503,-0.1208969341161122,2.398422601149534e-07,0.1996099458328618,2.2526720412170723e-06,0.002958311589625688
img_skew,29.945861859758224,3.1429590258051367e-07,4.1194182203292424e-05,0.1653890742186576,0.7407959022762756,0.6217847054429072,6.687374243198875e-08,0.17926350851221318,0.5993950262908043,0.5472610137897431,0.019031311154598825,4.562359876168747e-07,6.86569703388207e-05,1.0031061364798312e-07,0.6480722531720642
gb_mean,26.511863311755405,1.7499354509549913e-06,0.17721124352879802,-0.05442780419712778,74.35245670857027,75.22111339757511,1.0824263570666882e-05,-0.14608438193930423,79.1077227005466,0.00040328626837435734,-0.11186236138290932,2.4608467279054566e-06,0.20985541996831344,1.5221620646250304e-05,0.003942696668524007
gb_p10,20.89892974367005,2.896376848016521e-05,0.2697749690934541,-0.044502803605649795,24.46113989637306,24.54931506849315,6.261183156292505e-05,-0.1328700962250185,27.48785714285714,0.0024480537765728468,-0.09577462491846053,3.949604792749801e-05,0.30349684023013584,8.537977031307961e-05,0.01101624199457781
img_std,17.81570714222289,0.00013532198149719161,6.645547846053246e-05,0.16087018241181064,44.03922854972829,40.53157779768053,0.00021954598628253885,0.12269059955588453,41.40807428009992,0.2834619083414537,-0.03391389432485323,0.00017910262256981243,0.00010680344752585574,0.00029057557007983084,0.411476963721465
gb_area_ratio,11.614626392369507,0.0030054944076722654,0.0005606204358161131,0.1391451960158043,0.7780388297441709,0.7424585295376713,0.04795457263606007,0.06566432272390822,0.7613784807477678,0.026653922190335202,-0.07008317025440314,0.003864207095578627,0.0008409306537241697,0.053948894215567575,0.074183330423435
